Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Luis Medina","OAK",4.47927,7.54152,5.41831,4.74632,26.0262,19.3064,0,0.374442,107.403,475.328,100.708,61.5662,56.6409,13.0946,56.7146,1.49227,6.43726,102.255,8.56865,4.7525,1.80298,1.09729,0.215125,0.119317,0.09580869227647781,0.244333,1.46573,0.295168,0.689168,,,4.69984,0.621712,0.315266,636.3900146484375,3.01694,-0.478134,1.20716,"21649"
"Bailey Falter","PIT",3.66117,5.38891,2.47183,4.55772,44.813,8.32857,0,2.57232,81.4738,345.19,84.8196,44.8472,41.2594,13.1466,21.3556,0.53218,2.74089,65.4567,7.23067,2.35905,3.06508,1.45224,0.189625,0.0618663,0.1277587153017521,0.264158,1.30318,0.29557,0.698736,,,4.63318,0.621039,0.455962,735.7100219726562,3.20568,-2.44546,0.279753,"20070"
"Peter Lambert","COL",4.14361,6.87866,3.71432,5.39733,27.349,16.4502,0,0.470128,101.501,448.068,111.678,66.1638,60.8707,17.5409,36.9412,0.932693,5.09513,78.6786,6.97633,3.27553,2.12983,1.55533,0.175595,0.0824455,0.09314955770969391,0.275047,1.46421,0.303852,0.66463,,,5.19377,0.616998,0.804957,750.3699951171875,3.62932,0.101735,1.42693,"17969"
"Caleb Thielbar","MIN",3.49676,2.29153,0,3.70644,53.9963,0,0.576838,14.8982,53.1667,218.787,46.3893,23.7994,21.8955,7.29005,16.7662,0.609864,1.4481,63.8139,10.8024,2.83817,3.8061,1.23405,0.291671,0.0766326,0.21503876149654388,0.231284,1.18788,0.301998,0.743277,,,3.6648,0.61615,0.44112,750.8200073242188,1.7194,-0.491974,0.775584,"10078"
"Cody Bradford","TEX",4.56813,4.56335,1.97522,4.69755,32.2893,8.7892,0,0.40812,70.6992,296.825,72.2338,40.1103,36.9014,11.9924,17.1653,0.585262,2.39796,61.1645,7.78624,2.18513,3.56328,1.52663,0.206063,0.0578296,0.14823324978351593,0.260526,1.2645,0.29515,0.678818,,,4.56003,0.611907,0.406622,631.3400268554688,2.36282,-0.260131,0.442439,"27597"
"Tylor Megill","NYM",5.71948,6.02511,4.6381,4.64149,33.8043,15.0322,0,0.744017,95.8825,415.463,97.1214,53.7486,49.4487,14.2929,36.3762,0.688848,3.90568,84.7476,7.95482,3.41445,2.32975,1.3416,0.203984,0.087556,0.11642760783433914,0.258866,1.3923,0.299951,0.702712,,,4.68553,0.6118,0.624342,465.80999755859375,2.2046,0.618536,0.693856,"21318"
"Gregory Santos","SEA",2.29948,2.43529,0,3.76636,58.1239,0,3.62236,10.6407,60.4085,255.394,57.2561,27.4783,25.28,4.92234,20.3792,0.914322,3.02338,61.0458,9.09495,3.03621,2.9955,0.733358,0.239026,0.0797952,0.15923110395669937,0.246803,1.28517,0.31522,0.708993,,,3.45545,0.60223,0.43184,542.5499877929688,2.99722,-0.534915,0.784542,"21894"
"Robbie Ray","SFG",3.03956,3.2432,3.57021,4.09623,11.53,8.50672,0,0.220442,49.7992,208.029,44.7973,24.6364,22.6655,7.98046,17.3134,0.156154,1.50092,54.8098,9.90554,3.12897,3.16575,1.44227,0.263472,0.0832256,0.18024595081806183,0.236754,1.24722,0.291216,0.735685,,,4.2705,0.601065,0.705441,540.02001953125,1.93435,-0.291655,0.647606,"11486"
"Josh Sborz","TEX",4.03493,3.84645,0,4.20624,55.7107,0.00272931,2.03341,13.7488,58.351,245.489,51.5092,29.6423,27.2709,7.88425,23.0358,0.926931,1.72647,70.8428,10.9267,3.55302,3.07533,1.21606,0.288578,0.0938363,0.19474151730537415,0.233361,1.27753,0.307218,0.707051,,,3.85651,0.597293,0.209921,584.3200073242188,3.33126,-1.25546,0.378772,"18323"
"Tim Mayza","TOR",3.38979,2.21285,0,3.27816,60.622,0,0.367362,16.3201,54.9092,228.47,50.4349,21.7393,20.0001,5.31306,17.0553,1.82552,1.74307,54.3846,8.91401,2.79549,3.18872,0.870848,0.238038,0.0746502,0.16338802874088287,0.240542,1.22912,0.300864,0.761856,,,3.5591,0.59702,0.754534,747.739990234375,1.90821,-1.70311,0.973791,"15042"
"Josh Winckowski","BOS",4.20786,4.15208,0.990037,4.26462,53.4015,4.44166,1.15357,12.089,80.8799,349.352,83.2001,41.6572,38.3246,9.45385,28.5007,1.93688,3.09911,70.4218,7.83627,3.17144,2.47088,1.05199,0.201579,0.0815817,0.11999708414077759,0.26184,1.38107,0.31002,0.711352,,,4.20529,0.59228,0.662433,693.9400024414062,2.73792,-1.18742,0.384969,"22387"
"Robert Stephenson","LAA",2.84298,3.04307,0,3.81254,57.8868,0,12.8271,11.0516,57.3053,232.493,46.96,26.3863,24.2754,8.91268,17.6305,1.2641,1.70928,71.388,11.2117,2.76894,4.04912,1.39977,0.307054,0.0758324,0.2312217727303505,0.220311,1.12713,0.286387,0.733107,,,3.79789,0.591708,0.537882,228.47999572753906,3.46336,0.371383,1.11724,"13594"
"Sam Hentges","CLE",2.99448,2.39773,0,3.65141,55.9659,0.260987,0.551577,13.9348,60.1728,254.335,55.0388,26.5357,24.4128,5.42989,22.952,0.812048,1.84338,64.627,9.66621,3.43291,2.81575,0.812145,0.254101,0.090243,0.16385851055383682,0.239779,1.29611,0.311061,0.731011,,,3.5163,0.59097,0.494257,750.4500122070312,3.30911,-0.633185,0.717945,"18548"
"Joe Ross","MIL",3.76136,5.03415,3.59128,4.45279,24.7165,9.99552,0,0.81563,70.3419,299.742,67.4795,37.8282,34.8019,10.7309,24.3652,0.949951,3.90622,63.6856,8.14835,3.11744,2.61379,1.37298,0.212468,0.0812871,0.13118062913417816,0.24857,1.30569,0.287985,0.703144,,,4.63324,0.584044,0.611607,664.5800170898438,3.10127,0.0114803,0.257825,"12972"
"Jeff Hoffman","PHI",4.07802,3.28987,0,3.94407,58.201,0.00585647,4.08918,11.2538,63.2629,267.059,52.4867,30.1345,27.7237,8.03336,27.8485,1.46438,3.26169,75.6021,10.7554,3.96182,2.71477,1.14285,0.283091,0.104278,0.1788128763437271,0.222449,1.26986,0.291854,0.726615,,,3.99101,0.583504,0.491405,449.30999755859375,1.95335,-3.58382,0.477776,"17432"
"Tristan Beck","SFG",2.9257,3.32156,1.72014,4.46407,22.3576,7.46,0.256515,1.1803,59.9772,256.265,61.2222,32.336,29.7491,7.96359,18.7895,1.03487,2.31906,48.6906,7.30637,2.8195,2.59137,1.19499,0.190001,0.0733207,0.11668062955141068,0.260347,1.33403,0.298364,0.69233,,,4.41333,0.573761,0.503995,718.0499877929688,1.15236,-0.13935,0.425497,"21584"
"Brock Stewart","MIN",2.77685,2.10178,0,3.53379,54.6569,0,1.30896,13.6941,55.6958,233.622,46.6528,23.7702,21.8686,6.4112,22.7913,2.92185,2.65981,69.9748,11.3074,3.6829,3.07024,1.036,0.299522,0.0975565,0.20196528732776642,0.224108,1.24685,0.305359,0.755334,,,3.60963,0.573166,0.605921,649.739990234375,4.71986,-1.49179,0.805053,"16727"
"Cole Irvin","BAL",4.17378,5.6108,3.63211,4.38666,35.455,10.8246,0,0.950438,87.2792,368.433,90.7381,46.2397,42.5405,12.9185,19.9389,0.642157,4.64633,66.8531,6.89372,2.05604,3.35291,1.33212,0.181453,0.054118,0.12733470648527145,0.26389,1.26808,0.294686,0.695935,,,4.49233,0.572318,0.609037,495.9200134277344,2.59786,-1.2401,0.291411,"19244"
"Joe Boyle","OAK",5.62479,7.81299,6.5997,4.43281,25.898,19.1265,0,0.837143,106.936,473.562,89.3237,57.2498,52.6698,12.4836,69.3553,0.746704,4.8999,114.795,9.66142,5.8371,1.65517,1.05064,0.242408,0.146455,0.09595318138599396,0.223697,1.48387,0.282471,0.718327,,,4.70882,0.564259,0.820424,406.5799865722656,2.35298,0.783632,1.32055,"29608"
"Colin Holderman","PIT",2.42339,2.62307,0,4.02038,58.3949,0,1.64394,16.2676,59.9147,257.018,55.9628,29.0918,26.7644,5.4214,23.9348,1.76943,3.36756,59.2511,8.90033,3.59533,2.47552,0.814369,0.230533,0.0931252,0.13740818947553635,0.243618,1.33352,0.306232,0.702634,,,3.82056,0.564053,0.450449,737.47998046875,2.96754,-1.49293,0.602947,"22361"
"Erik Swanson","TOR",3.70411,2.81708,0.606006,3.54248,59.3305,0.828727,5.36804,14.9142,61.1258,249.917,52.4332,26.1518,24.0596,8.39801,18.3811,0.833221,1.83829,68.3386,10.062,2.70638,3.71788,1.2365,0.273445,0.0735486,0.19989598542451859,0.22827,1.1585,0.287884,0.75626,,,3.79745,0.563963,0.720458,509.17999267578125,0.754688,0.442031,0.871873,"16587"
"Sixto Sánchez","MIA",2.40444,2.48176,0.370034,3.76723,36.1182,0.506029,0,3.1129,44.2292,185.225,42.105,20.1234,18.5135,4.25756,12.9354,0.850031,1.92015,43.3,8.81091,2.63216,3.34741,0.866352,0.233769,0.0698359,0.1639333739876747,0.247139,1.24443,0.308173,0.711433,,,3.55609,0.561532,0.491762,715.9400024414062,2.12951,-0.316331,0.8803,"19680"
"Julian Merryweather","CHC",3.34482,2.62333,0,3.85702,60.4818,0.00426394,3.30151,15.277,62.7298,264.83,54.3592,29.221,26.8834,7.95525,25.7166,0.932075,2.83751,77.3017,11.0907,3.68963,3.0059,1.14136,0.291892,0.0971063,0.19478581100702286,0.230067,1.27652,0.307273,0.737684,,,3.80466,0.559344,0.548486,543.4199829101562,3.47779,-1.2973,0.558024,"16703"
"Jordan Lyles","KCR",6.08929,9.32301,6.18582,5.43134,25.6948,21.4481,0,0.257423,128.052,554.1,139.658,83.9969,77.2771,24.1106,37.9995,0.395183,5.09032,90.3457,6.34984,2.67075,2.37755,1.69459,0.16305,0.0685789,0.09447062760591507,0.273299,1.38739,0.29138,0.650862,,,5.30121,0.558372,-0.0859536,740.6500244140625,2.9963,1.12194,1.96313,"7593"
"Roansy Contreras","PIT",3.58057,4.90052,2.34871,4.63932,36.1271,9.52777,0.00624697,1.0774,78.473,335.391,75.4903,43.9688,40.4513,11.5021,29.8133,0.765785,2.51561,71.0499,8.14866,3.41927,2.38316,1.31917,0.211842,0.0888913,0.12295087426900864,0.249092,1.34191,0.290183,0.687605,,,4.58562,0.555564,0.482518,615.7899780273438,3.16968,-0.671905,0.26353,"22810"
"Garrett Crochet","CHW",3.76905,5.30455,1.87038,3.93833,47.7494,5.43408,0.768117,4.97221,70.1998,304.04,61.0232,33.3901,30.7189,7.97434,36.0363,1.04294,3.40118,78.1203,10.0154,4.62006,2.16782,1.02235,0.256941,0.118525,0.13841579109430313,0.230622,1.38262,0.297179,0.741243,,,4.19149,0.553477,0.789074,525.0800170898438,5.19287,-1.63668,0.506534,"27463"
"Jason Foley","DET",2.32058,2.31621,0,3.746,60.1499,0,6.94022,13.3146,60.9067,259.19,62.6791,27.5551,25.3507,4.75674,17.1453,1.27812,2.73647,49.9079,7.37474,2.53351,2.91088,0.70289,0.192553,0.0661494,0.12640366703271866,0.261918,1.3106,0.313698,0.714404,,,3.61078,0.553439,0.513671,482.260009765625,2.38845,-0.778279,0.935147,"19531"
"Griffin Jax","MIN",4.47723,3.84858,0.492571,3.98515,53.7244,0.673602,2.03339,15.3657,60.6489,252.739,55.4643,29.1902,26.855,7.11504,18.4469,1.34978,2.94598,62.1819,9.22749,2.73744,3.37085,1.05584,0.246032,0.0729881,0.17304394394159317,0.239746,1.21867,0.298361,0.699311,,,3.78779,0.549084,0.419195,532.3200073242188,0.74844,-1.57213,0.571975,"20253"
"Matthew Liberatore","STL",3.43603,4.09357,1.26446,4.51872,30.7715,6.98184,0,3.16811,60.9019,264.409,60.4088,33.2366,30.5776,7.03876,24.1462,0.641155,3.2385,52.9383,7.82315,3.56829,2.19241,1.04018,0.200214,0.0913213,0.10889256745576859,0.254863,1.38838,0.301445,0.686987,,,4.368,0.544364,0.400895,668.760009765625,4.96886,-1.18107,0.311167,"22294"
"Kenley Jansen","BOS",3.35962,3.60194,0,3.98785,59.102,0,30.1206,0.676039,58.6819,246.204,50.1469,28.2627,26.0017,7.98867,23.2625,1.49331,2.61684,70.0626,10.7454,3.56776,3.01182,1.22521,0.284571,0.0944849,0.19008640199899673,0.227605,1.25097,0.296318,0.725537,,,3.95995,0.544125,0.558748,127.38999938964844,1.83996,-1.55959,1.9581,"3096"
"Brandon Williamson","CIN",3.31073,4.41247,3.75653,4.96378,20.2978,11.8769,0,0.656785,68.0743,297.121,68.6809,40.8099,37.5451,11.6193,28.2659,0.335523,2.75822,59.5733,7.8761,3.73699,2.1076,1.53617,0.200502,0.0951329,0.10536933690309525,0.258105,1.42413,0.292768,0.695798,,,5.09092,0.543812,0.462138,631.3499755859375,1.26065,0.0680409,0.413655,"25463"
"Fernando Cruz","CIN",2.03545,2.07806,0,4.2272,44.9715,0.35942,0.192474,7.88609,48.2316,204.358,40.9771,24.6237,22.6538,6.68918,21.0881,0.618727,2.42152,63.577,11.8634,3.93503,3.01483,1.2482,0.311105,0.103192,0.20791377127170563,0.226582,1.28682,0.310066,0.71046,,,3.88397,0.534343,0.271796,729.2100219726562,3.20563,-0.119321,0.614835,"7048"
"John Schreiber","KCR",2.97535,2.66625,0,3.73259,55.8002,0.057417,2.99707,13.1872,58.4785,249.107,51.9266,26.3618,24.2529,5.97558,22.4708,1.20898,3.25319,61.424,9.45333,3.45832,2.7335,0.919658,0.246577,0.0902055,0.15637152642011642,0.232455,1.27222,0.294589,0.727463,,,3.80236,0.53069,0.575297,682.3499755859375,2.37901,-1.5301,0.729679,"20020"
"Yimi García","TOR",3.10664,3.2029,0,3.83593,58.6633,0,4.36504,15.263,57.9673,239.56,51.8392,26.8549,24.7065,7.65779,16.2261,1.6029,3.38936,62.4341,9.69352,2.51926,3.84777,1.18895,0.26062,0.0677329,0.19288726150989532,0.235692,1.1742,0.294833,0.718648,,,3.83346,0.525575,0.404417,721.6900024414062,2.14186,-1.1521,0.825191,"12095"
"Trevor Bauer",,2.37491,2.61631,3.34088,3.90826,8.06118,8.06118,0,0,45.2901,186.818,38.2839,21.3774,19.6672,7.70403,15.4329,0.482613,2.27083,49.2543,9.78777,3.06681,3.19151,1.53094,0.263649,0.0826094,0.181039497256279,0.226379,1.18606,0.272655,0.753284,,,4.46402,0.522886,0.817621,571.8699951171875,0.92881,1.08221,0.886165,"12703"
"Gregory Soto","PHI",3.29077,4.26169,0,3.95544,64.4533,0,3.62848,16.1538,63.379,270.561,54.1937,30.2768,27.8546,6.53308,29.3768,0.867435,3.19106,70.4468,10.0037,4.17159,2.39804,0.927717,0.260374,0.108578,0.15179592370986938,0.227712,1.31858,0.296005,0.716081,,,3.91362,0.521029,0.491278,609.2899780273438,2.71126,-0.669379,0.545194,"19677"
"Joe Jiménez","ATL",2.99857,2.35183,0,3.85738,62.2686,0,1.92321,14.2246,61.6747,255.96,53.9659,28.7322,26.4336,8.88003,20.0588,0.540407,3.07883,77.1458,11.2577,2.92712,3.84598,1.29584,0.301398,0.078367,0.2230309098958969,0.23179,1.20024,0.307131,0.735356,,,3.75057,0.515673,0.561243,671.3900146484375,2.11476,-0.729471,0.687091,"15761"
"Joey Lucchesi","NYM",3.06519,3.23287,2.67306,4.31264,19.0496,8.48404,0,0.58379,53.7513,231.378,53.1999,27.9964,25.7567,7.08465,20.2127,0.478871,2.08688,43.1221,7.22027,3.38438,2.13341,1.18624,0.186371,0.087358,0.09901260584592819,0.254449,1.36578,0.290267,0.715283,,,4.60859,0.511755,0.578726,699.4199829101562,3.1937,0.532935,0.502542,"19320"
"Hoby Milner","MIL",2.43743,1.98339,0,3.70781,60.2001,0,0.39753,13.4157,58.8525,244.846,56.3967,26.3544,24.246,7.34482,14.6456,0.610963,3.13169,55.7876,8.5313,2.23967,3.80917,1.1232,0.227847,0.0598155,0.1680319905281067,0.248368,1.20712,0.299213,0.735488,,,3.8878,0.511468,0.660933,745.6900024414062,1.07408,-0.00269442,0.881573,"13346"
"Héctor Neris","CHC",4.40771,3.78813,0,3.78466,64.3013,0,6.01519,16.3869,64.6485,271.212,54.3752,29.5498,27.1858,8.4339,25.8046,0.713279,3.55184,72.9979,10.1624,3.59237,2.82888,1.17412,0.269154,0.0951453,0.17400895059108734,0.224825,1.24024,0.286374,0.740503,,,4.05497,0.510026,0.55785,413.8900146484375,2.38204,0.978012,0.602723,"11804"
"Yennier Cano","BAL",2.86706,2.57696,0,3.69133,62.6452,0,9.87728,13.8378,65.1056,274.62,61.684,29.0249,26.7029,6.09846,21.1362,1.16865,2.99297,61.8302,8.54721,2.92181,2.92532,0.843032,0.225148,0.0769655,0.14818300306797028,0.246253,1.27209,0.304476,0.7242,,,3.68522,0.509963,0.55547,337.3699951171875,1.68615,0.55284,0.958096,"25911"
"Giovanny Gallegos","STL",3.19661,3.60213,0,3.92438,58.5583,0,5.42268,15.6071,60.5512,248.195,54.1304,28.6988,26.4029,9.03221,16.6474,0.704516,1.81908,66.3661,9.8643,2.47438,3.98657,1.3425,0.267395,0.0670738,0.20032072812318802,0.235628,1.16889,0.292218,0.723844,,,3.91706,0.505918,0.438491,511.8399963378906,2.54854,-1.9122,0.805404,"14986"
"Chad Green","TOR",4.41432,2.53291,0,3.85513,47.6791,0,1.29477,10.2643,49.9269,204.639,43.7053,23.2457,21.3861,6.7496,14.8973,1.7684,1.24866,57.1042,10.2938,2.68544,3.83319,1.21671,0.279048,0.0727978,0.20625029504299164,0.231866,1.17377,0.296501,0.71932,,,3.69517,0.504568,0.376995,702.6300048828125,2.83905,-1.05581,0.732196,"15552"
"Gabe Speier","SEA",2.16538,2.13314,0,3.67347,59.7209,0.003025,2.41884,14.362,56.0904,231.576,51.0401,24.8848,22.894,6.53275,15.3034,2.12354,2.57026,60.9356,9.77745,2.45552,3.98183,1.04821,0.263135,0.0660839,0.19705074280500412,0.238838,1.1828,0.304358,0.724832,,,3.55234,0.499137,0.424091,745.1500244140625,3.15152,-1.26298,0.936333,"17170"
"Kevin Kelly","TBR",2.63994,2.08568,0,3.81837,44.9814,0,0.525881,5.88448,48.5483,203.284,45.4703,22.3883,20.5973,4.47524,13.0665,0.765176,3.9569,43.5776,8.07852,2.42229,3.33508,0.82963,0.214368,0.0642769,0.15009154379367828,0.244122,1.20574,0.29662,0.691552,,,3.71011,0.494908,0.48265,750.77001953125,2.43414,0.402911,0.894914,"25679"
"Zack Thompson","STL",3.51176,4.0094,2.32505,4.26132,30.3811,6.48326,0.00236957,0.983728,60.4031,261.329,57.0762,31.0866,28.5997,7.37631,26.6068,0.617945,2.47712,58.4865,8.71442,3.96438,2.19818,1.09906,0.223804,0.101813,0.1219906285405159,0.245758,1.38541,0.298709,0.717,,,4.35053,0.493089,0.516862,633.47998046875,2.13081,-0.429659,0.370249,"25918"
"David Robertson","TEX",3.36287,3.59746,0,3.86508,56.7886,0,8.55765,10.683,59.1203,250.489,50.701,27.5972,25.3894,7.55068,25.6383,1.09668,2.70124,67.5389,10.2816,3.90298,2.63429,1.14945,0.269628,0.102353,0.1672748401761055,0.228229,1.29125,0.29342,0.741119,,,4.06863,0.490326,0.461881,323.6000061035156,1.64548,0.470033,0.77477,"8241"
"Scott Barlow","CLE",3.53231,4.09487,0,3.72975,62.7448,0,3.43068,13.0224,66.331,278.989,57.3418,29.879,27.4887,7.33482,25.944,1.74392,3.34328,74.3368,10.0863,3.52016,2.86528,0.995212,0.266451,0.0929929,0.1734577864408493,0.229641,1.25561,0.297607,0.731429,,,3.77577,0.489734,0.512592,478.67999267578125,1.46356,-0.399654,0.630136,"14993"
"Spencer Turnbull","PHI",2.39847,3.65169,1.64739,4.91856,24.6489,7.81002,0,0.765078,56.983,252.569,60.2108,33.8495,31.1415,7.29967,23.1616,0.393865,3.94575,48.353,7.63697,3.65819,2.08764,1.15293,0.191445,0.0917042,0.09974072128534317,0.267056,1.46311,0.311593,0.676979,,,4.6504,0.476877,0.171409,691.5999755859375,11.8192,-2.0138,0.388305,"16207"
"Lance McCullers Jr.","HOU",2.70357,1.96514,2.68387,3.80392,11.2819,6.16367,0,0.244784,37.84,160.946,32.8268,17.3841,15.9934,4.16934,16.4367,0.180735,1.94632,37.8318,8.99803,3.90935,2.30167,0.991649,0.235059,0.102125,0.1329333782196045,0.230262,1.30189,0.284974,0.734101,,,4.14528,0.473536,0.673867,695.0599975585938,2.5885,0.486095,0.83712,"14120"
"Luke Jackson","SFG",2.88777,2.98172,0,3.89981,56.4734,0,0.588668,10.7851,57.2182,244.474,52.0834,26.9493,24.7934,6.14714,23.9793,2.00287,2.47875,62.5356,9.83639,3.77177,2.6079,0.966901,0.255796,0.0980853,0.1577109396457672,0.238897,1.32934,0.307609,0.728073,,,3.85303,0.46684,0.4196,750.5,0.981086,-0.903372,0.590541,"11752"
"Brooks Raley","NYM",1.87637,2.32072,0,3.81695,61.154,0,2.94408,17.1102,57.1696,243.164,50.498,26.3543,24.2459,6.57753,22.7406,1.38301,4.13342,62.7098,9.87218,3.57996,2.75762,1.03548,0.257891,0.0935195,0.1643718034029007,0.233474,1.28107,0.298774,0.732223,,,3.96713,0.466644,0.520019,743.260009765625,1.99231,-0.941459,0.793176,"10061"
"Craig Kimbrel","BAL",4.16456,3.83465,0,3.72745,63.6803,0,24.614,3.18258,63.7723,265.723,50.8032,28.7087,26.412,8.27748,26.4556,1.16129,3.60088,79.2256,11.1809,3.7336,2.99466,1.16818,0.298151,0.0995608,0.19859012216329575,0.215572,1.21148,0.287019,0.739301,,,3.8717,0.462163,0.500604,107.68000030517578,1.37899,-0.595011,1.52471,"6655"
"Yariel Rodriguez","TOR",3.10487,2.61748,1.82927,4.32162,38.8438,5.15014,0,0.839571,62.5568,271.63,57.3061,32.6505,30.0385,7.48182,29.2046,1.02285,3.70406,63.2521,9.10003,4.20164,2.16583,1.0764,0.232862,0.107516,0.12534531950950623,0.240055,1.38292,0.296596,0.70835,,,4.3658,0.46009,0.331272,556.6599731445312,3.22068,-1.71658,0.33755,"sa3023349"
"Drew Smyly","CHC",4.63269,4.67464,1.75356,4.44478,44.6093,5.87627,0.252835,4.28857,74.768,318.508,73.3421,40.1361,36.9252,12.6302,25.4328,0.616806,2.90556,73.715,8.87326,3.0614,2.89843,1.52033,0.231439,0.0798498,0.15158911794424057,0.252756,1.32109,0.297864,0.723109,,,4.61629,0.458331,0.430985,650.2899780273438,2.64403,-1.0972,0.147927,"11760"
"Andrew Kittredge","STL",3.97302,2.83484,0,3.76213,49.4665,0.132298,2.72096,9.4213,51.2334,212.357,49.7082,23.2786,21.4163,6.24793,11.6473,0.766843,2.42432,43.5569,7.65149,2.04604,3.73965,1.09755,0.205112,0.0548478,0.15026411041617393,0.250691,1.19757,0.292701,0.72378,,,3.96403,0.454685,0.491967,658.7899780273438,2.83493,0.99482,0.851063,"12828"
"Colin Poche","TBR",4.93051,2.95808,0,3.79713,59.5795,0,2.77158,17.4645,58.2785,242.401,49.0832,26.726,24.5879,7.73228,22.4362,1.02614,1.87426,62.0004,9.57477,3.46484,2.7634,1.1941,0.255776,0.0925582,0.16321749985218048,0.225058,1.2272,0.278723,0.738018,,,4.10356,0.454399,0.474497,636.6599731445312,2.67072,0.0717571,0.607265,"19403"
"Huascar Ynoa","ATL",2.85167,3.25951,1.97824,4.49424,23.6454,5.25204,0,0.797745,46.2534,197.218,43.8558,25.1056,23.0971,6.41921,17.3156,0.500624,1.91147,48.3208,9.40227,3.36928,2.79059,1.24905,0.245012,0.0877995,0.15721291303634644,0.246394,1.32253,0.303743,0.691121,,,4.2169,0.451435,0.335855,718.5499877929688,3.08585,-1.03508,0.513889,"20468"
"Tyler Rogers","SFG",3.34355,3.64668,0,3.9443,64.2667,0,2.15356,17.9079,67.9365,287.992,69.108,32.3626,29.7736,6.51597,18.3544,1.04748,3.51395,50.6048,6.70396,2.43153,2.7571,0.863214,0.175716,0.0637322,0.11198382824659348,0.259684,1.28741,0.299479,0.703342,,,3.97782,0.447852,0.521782,701.2899780273438,2.22376,0.121962,0.633609,"15541"
"Paul Sewald","ARI",3.72684,2.91239,0,3.70219,61.219,0,29.773,2.42795,61.4314,253.114,50.0961,27.4675,25.2701,8.71736,22.3781,1.87037,2.48846,74.6265,10.9332,3.2785,3.33481,1.27714,0.294834,0.0884112,0.20642288774251938,0.219482,1.17976,0.285561,0.746753,,,3.88456,0.447781,0.67148,83.94999694824219,2.15883,0.427528,1.87289,"13892"
"Jackson Rutledge","WSN",3.75287,5.17042,3.75123,5.27886,19.1837,14.1996,0,0.883832,77.7455,343.26,81.3388,49.5662,45.6009,12.5136,31.1518,0.554761,5.30792,57.8096,6.69217,3.6062,1.85574,1.44861,0.168413,0.0907526,0.07766054570674896,0.265119,1.44691,0.291043,0.662561,,,5.26721,0.446961,0.0887557,748.530029296875,2.53736,0.219188,0.783339,"26215"
"Angel Zerpa","KCR",2.56718,2.89413,1.64886,4.37473,29.4786,4.92693,0,0.977963,51.6959,220.729,52.5842,27.3135,25.1284,6.68472,15.8525,0.492239,2.37425,42.8827,7.46565,2.75984,2.70511,1.16378,0.194277,0.0718187,0.1224585548043251,0.259672,1.32383,0.300124,0.696082,,,4.33474,0.44477,0.411058,750.8099975585938,2.02871,-0.986529,0.567349,"22717"
"Jake Bird","COL",2.66995,3.18593,0,4.60078,58.6561,0.318308,0.895959,12.0059,65.1372,286.303,68.4343,36.1934,33.298,6.89145,24.4944,1.50738,4.47607,56.8935,7.86097,3.38439,2.32272,0.952191,0.198718,0.0855542,0.11316390335559845,0.265938,1.42666,0.317973,0.681254,,,4.21783,0.443992,0.461635,750.3499755859375,3.68965,-2.12806,0.407339,"21267"
"Brandon Walter",,1.60585,1.99164,1.67336,4.75818,10.7124,6.20264,0.0117609,0.0870904,40.8442,178.205,44.5882,23.4715,21.5938,5.4084,13.1622,0.307413,2.00609,31.2845,6.89352,2.90027,2.37685,1.19174,0.175554,0.0738598,0.10169380158185959,0.273486,1.41392,0.310105,0.683137,,,4.55865,0.432641,0.402851,999,3.44519,-1.0287,0.62576,"26056"
"Woo-Suk Go","SDP",2.65191,3.32086,0,4.00485,58.1364,0,3.76726,11.8824,59.8851,257.791,53.1952,28.9651,26.6478,6.78847,28.097,1.3927,2.83199,69.3316,10.4197,4.22263,2.46758,1.02022,0.268945,0.108991,0.15995360910892487,0.234483,1.35747,0.307855,0.728909,,,3.96263,0.430604,0.383593,587.1799926757812,4.70305,-1.14761,0.60895,"sa3012630"
"Dylan Floro","WSN",2.93945,3.40887,0,4.24583,48.9719,0,1.89396,6.86025,48.5408,208.323,50.0518,24.8908,22.8995,4.84261,15.781,1.85718,1.72176,44.0187,8.16155,2.92598,2.78934,0.897873,0.2113,0.0757527,0.1355474516749382,0.262298,1.35624,0.318467,0.693308,,,3.82003,0.428261,0.213319,744.2899780273438,2.54925,-1.09267,0.601996,"13394"
"Luis L. Ortiz","PIT",5.34676,6.47629,4.24452,4.81789,28.1462,16.8494,0,0.647494,100.723,446.954,105.482,58.6075,53.9189,13.6573,45.5487,0.502022,3.8285,75.2844,6.727,4.06998,1.65283,1.22034,0.168439,0.101909,0.06652965396642685,0.265312,1.49947,0.297518,0.700651,,,4.99356,0.426932,0.66182,665.02001953125,2.06986,1.15553,1.22883,"27646"
"Danny Coulombe","BAL",3.85798,3.13615,0,3.73967,56.5901,0,1.39589,14.7242,54.5065,229.319,50.8172,24.6179,22.6485,6.76291,18.48,0.635251,1.95317,57.9106,9.56207,3.05137,3.1337,1.11668,0.252533,0.0805862,0.1719464659690857,0.243277,1.27136,0.305481,0.746781,,,3.86774,0.426076,0.422073,746.52001953125,1.20246,-0.567961,0.664729,"13293"
