Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Nick Martinez","CIN",6.00061,5.58629,5.22506,4.34291,39.3396,16.4777,1.80478,3.20031,113.099,488.114,111.997,59.321,54.5754,16.4194,43.4659,1.00718,4.66421,105.225,8.37343,3.45886,2.42087,1.3066,0.215575,0.0890486,0.12652622908353806,0.254548,1.37457,0.300238,0.725732,,,4.55826,1.27783,1.505,455.6000061035156,3.46853,0.202504,0.789427,"12730"
"Paul Skenes","PIT",2.81907,3.19487,1.68131,4.17968,11.667,11.667,0,0,60.7839,253.555,55.2591,30.6833,28.2286,6.27844,22.0226,0,0,59.3634,8.78967,3.26079,2.69556,0.92962,0.234124,0.0868554,0.1472688391804695,0.238667,1.27142,0.295259,0.68035,,,3.7315,1.24355,0.9199,306.8399963378906,8.25175,0.57606,0.536047,"sa3023079"
"Colin Rea",,6.69434,7.47332,6.81486,4.62876,29.724,22.7706,0,0.239457,129.526,547.647,127.275,72.4085,66.6158,21.6688,39.7959,0.832735,4.95178,111.574,7.75263,2.76519,2.80365,1.50564,0.203733,0.072667,0.1310662254691124,0.253082,1.28986,0.285687,0.692307,,,4.74347,1.23767,1.22227,523.0499877929688,2.41909,-0.690369,0.942773,"12317"
"Chase Silseth","LAA",6.7523,6.86318,6.09058,4.35568,25.6587,21.6458,0,0.897206,115.581,496.473,107.501,60.801,55.9369,16.3332,48.7886,0.453244,5.04835,114.049,8.88075,3.79906,2.33762,1.27183,0.229719,0.0982704,0.131448432803154,0.242867,1.35222,0.291969,0.715684,,,4.51602,1.20082,1.4121,345.0199890136719,2.71005,0.205282,0.771606,"30074"
"Wade Miley","MIL",7.56554,7.03176,8.34519,4.21551,22.8879,22.8879,0,0,127.23,544.576,127.902,64.7753,59.5933,17.5366,42.9241,0.48604,4.78262,89.2752,6.31515,3.03636,2.07984,1.24051,0.163935,0.0788211,0.0851142629981041,0.257416,1.34265,0.282946,0.725011,,,4.76841,1.19388,1.79321,491.9800109863281,4.28214,0.822917,0.753866,"8779"
"Paul Blackburn","OAK",6.17658,8.33537,7.39848,4.50939,24.3278,24.3278,0,0,132.298,572.587,137.81,72.0512,66.2871,16.838,45.7828,1.36164,5.33061,109.622,7.45736,3.11452,2.39438,1.14546,0.191449,0.0799578,0.11149168759584427,0.26427,1.38772,0.306246,0.697049,,,4.41145,1.18765,0.935187,556.5,4.02054,-0.911974,1.1346,"14739"
"Adrian Houser","NYM",7.12614,7.69636,6.15195,4.51272,24.5494,22.4195,0,0.168678,122.622,532.484,125.768,66.8306,61.4841,15.0741,46.6628,1.16564,4.45039,91.1761,6.69201,3.42489,1.95393,1.10639,0.171228,0.0876325,0.08359551429748535,0.26127,1.4062,0.295089,0.697828,,,4.61656,1.16565,1.23212,541.8099975585938,2.68199,0.23004,1.13353,"12718"
"Aaron Ashby","MIL",3.93359,4.97679,3.11166,3.87774,31.2007,10.3135,0.0009967691,1.471,75.7955,325.588,68.0808,35.497,32.6573,8.32014,34.181,0.827868,3.51896,84.0034,9.97461,4.05868,2.4576,0.987939,0.258005,0.104983,0.1530228555202484,0.236484,1.34918,0.305581,0.736808,,,3.95766,1.14825,1.23929,410.3500061035156,4.93842,-1.15342,0.477365,"23550"
"Jordan Wicks","CHC",6.74487,6.33914,7.37178,4.39931,23.7496,21.8017,0,0.229683,113.287,482.745,112.157,60.1916,55.3762,15.7957,38.3802,0.791924,3.67477,95.3072,7.57159,3.04908,2.48324,1.25488,0.197428,0.0795041,0.1179235652089119,0.254503,1.32881,0.29237,0.7035,,,4.49874,1.14753,1.29466,452.1099853515625,2.47059,1.26379,0.602164,"30094"
"Jhoan Duran","MIN",3.65968,3.16156,0,2.8115,61.0324,0,32.7852,1.96595,64.0787,261.803,50.1273,21.7582,20.0175,5.11483,22.4515,2.89252,3.39575,85.5751,12.0192,3.15337,3.81155,0.718389,0.326868,0.0857574,0.24111086130142212,0.212444,1.13265,0.309863,0.77686,,,2.83188,1.13922,1.25628,51.099998474121094,2.31621,0.239608,2.06389,"21029"
"Anthony DeSclafani","MIN",6.14738,7.21079,6.85237,4.5529,29.4766,19.5865,0,0.462238,115.668,488.344,118.73,63.6018,58.5136,17.255,29.7686,0.905268,4.40935,93.7891,7.29765,2.31627,3.1506,1.3426,0.192055,0.0609583,0.13109717518091202,0.261424,1.28384,0.29574,0.682771,,,4.4591,1.13588,0.865686,561.2100219726562,2.0553,2.28204,0.625233,"13050"
"Mike Clevinger",,6.32622,7.26669,5.65717,4.65923,20.4759,18.8307,0,0,105.301,448.787,103.942,59.254,54.5137,16.7168,33.5435,0.403734,5.92742,89.5416,7.65302,2.86692,2.66942,1.42876,0.199519,0.0747425,0.1247766837477684,0.25394,1.30564,0.287817,0.685747,,,4.74265,1.1152,0.893453,452.1099853515625,3.22712,-0.310367,0.671885,"12808"
"Pete Fairbanks","TBR",3.3249,2.67183,0,2.87102,53.7874,0,29.1563,2.99639,53.5876,217.196,38.6269,18.581,17.0945,4.56102,20.5948,0.502727,2.56992,74.3221,12.4823,3.45888,3.60878,0.76602,0.342189,0.0948214,0.24736792594194412,0.199076,1.10514,0.295844,0.769181,,,2.88449,1.11004,1.06426,89.88999938964844,2.58814,-0.323851,1.92505,"17998"
"José Alvarado","PHI",3.29922,2.59716,0,3.0941,63.0343,0,23.4801,7.28267,63.1847,264.268,48.823,23.6111,21.7222,5.13196,29.715,2.37735,2.49479,86.4533,12.3144,4.2326,2.90941,0.730994,0.327142,0.112443,0.21469926834106445,0.210391,1.24299,0.311028,0.769789,,,3.10371,1.10866,1.09193,158.97000122070312,2.66865,-0.194445,1.59279,"17780"
