,Name,POS,Dollars,PA,HR,R,RBI,SB,OBP,SLG,OPS,wOBA
112,Josh Bell,1B/DH,4.2003505033203785,592.6469999999999,20.2623,67.7139,72.6334,0.402242,0.33965500000000004,0.425387,0.765041,0.33225
113,Brandon Drury,1B/2B,4.165029933349366,526.582,23.0951,65.3305,74.232,1.41921,0.302799,0.454096,0.756895,0.323347
114,Yainer Diaz,C/DH,4.056292695248504,447.62699999999995,21.2282,56.0688,67.4136,0.787995,0.309125,0.481429,0.790554,0.335202
115,Daulton Varsho,OF,4.049651748382752,553.393,22.5056,69.7258,67.7014,15.1226,0.29982600000000004,0.426079,0.725904,0.312243
116,T.J. Friedl,OF,4.007028109757905,545.352,15.0335,72.1866,58.4944,21.7406,0.330497,0.41817200000000004,0.7486689999999999,0.325166
117,Jorge Polanco,2B,3.9229667982842154,536.637,20.9611,65.404,68.4818,6.15404,0.32455500000000004,0.43033000000000005,0.754884,0.326692
118,Ke'Bryan Hayes,3B,3.9046559432738936,590.244,17.4592,72.6575,68.1811,14.4647,0.32203699999999996,0.43624799999999997,0.7582840000000001,0.326442
119,Jordan Walker,OF,3.702323900614765,544.59,17.7392,65.9375,63.7693,10.2015,0.334542,0.438433,0.772975,0.334034
120,James Outman,OF,3.5924655505682046,525.151,18.6938,71.7802,63.729,12.2491,0.326617,0.413545,0.740163,0.323013
121,Edouard Julien,2B/DH,3.5771514216909868,550.3330000000001,16.4062,73.2538,54.6074,7.98804,0.360018,0.40902,0.769038,0.33915700000000004
122,Jonathan India,2B,3.4878890131858347,513.247,16.0192,69.0593,59.0901,11.2868,0.34526,0.42052700000000004,0.765787,0.335092
123,Eloy Jimenez,DH,3.4462454323808123,522.021,22.5203,60.1343,72.8848,0.13617100000000001,0.326932,0.46465100000000004,0.791583,0.338557
124,Jarren Duran,OF,3.3632566502389616,526.006,13.1594,71.1901,54.4973,28.3,0.321235,0.426875,0.74811,0.322764
125,Max Kepler,OF,3.357978768622937,518.679,20.4424,67.3365,65.4173,3.52132,0.327964,0.44128599999999996,0.769249,0.331852
126,Ha-seong Kim,2B/3B/SS,3.077053519955463,601.877,14.5825,73.2614,60.6251,26.901999999999997,0.327384,0.38463800000000004,0.712023,0.313232
127,Luis Arraez,2B,2.771400705727032,615.071,7.7537199999999995,75.0654,61.6979,4.02422,0.370059,0.425446,0.795505,0.344649
128,Eugenio Suarez,3B,2.5974573843587745,593.05,22.7089,68.1883,79.3906,1.01391,0.322731,0.413729,0.73646,0.320899
129,Lars Nootbaar,OF,2.5490446717733763,480.655,16.4889,66.6768,53.8412,8.805019999999999,0.354243,0.434123,0.788367,0.342548
130,Ezequiel Tovar,SS,2.1451364752898496,604.908,15.9615,77.2209,69.9727,13.2658,0.304479,0.41829799999999995,0.7227779999999999,0.311215
131,J.D. Martinez,DH,2.1153395202472107,466.715,21.499000000000002,58.5011,70.9307,0.759785,0.319749,0.47293100000000005,0.79268,0.337046
132,Lourdes Gurriel Jr.,OF/DH,2.0197817189500844,543.31,16.4664,64.4738,70.2019,4.523619999999999,0.32602800000000004,0.444115,0.770143,0.331225
133,Trevor Story,SS,1.8655650751438588,501.069,18.1891,64.3407,62.4827,19.7191,0.304604,0.421575,0.726179,0.31235300000000005
134,Brent Rooker,OF/DH,1.7303591279653496,518.744,24.5385,59.4471,66.635,3.56032,0.312235,0.438691,0.750926,0.323336
135,Giancarlo Stanton,OF/DH,1.5820508095903858,434.556,25.7589,51.9796,67.3914,0.0907444,0.30904699999999996,0.463711,0.772758,0.329014
136,Jose Abreu,1B,1.4755014912546764,582.549,18.0024,67.6154,78.7354,0.37655900000000003,0.324234,0.412209,0.7364430000000001,0.320011
