Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Lane Thomas","WSN",142.154,605.377,549.957,137.491,83.7769,29.6945,2.79898,21.2203,78.76,69.8042,43.2652,0.101794,151.182,6.52275,4.71052,0.921536,7.75221,15.768,4.55561,0.250003,0.0714682,0.249732,0.286179,0.30983,0.429932,0.318623,0.739763,0.17993,5.48909,0.304162,-0.289179,0.202436,73.8865,0.124889,98.3473,-0.0867435,-1.16904,-1.3262391239404678,-6.689538478851318,1.25671,122.70999908447266,1.77492,-0.215009,0.480888,"16939"
"Eloy Jiménez","CHW",125.03,522.021,478.119,130.629,84.5329,23.1836,0.392528,22.5203,60.1343,72.8848,36.8161,1.24234,106.653,3.11269,3.64528,0.327896,12.6116,0.136171,0.196909,0.273215,0.070526,0.204308,0.345194,0.326932,0.464651,0.338557,0.791583,0.191436,1.57198,0.306613,-0.0943827,-1.0053,72.3553,8.74998,113.933,-1.09968,-0.397565,7.763156056404114,-13.016786098480225,1.24688,234.75999450683594,4.43711,0.382789,0.790266,"17484"
"Jackson Chourio","MIL",127.224,520.988,482.086,122.072,80.0919,24.2395,2.37983,15.3603,61.6813,62.3375,30.7183,1.25148,112.52,3.21267,3.51337,1.45726,7.49036,21.1571,5.24763,0.253216,0.0589618,0.215974,0.273004,0.300276,0.408956,0.305218,0.709232,0.15574,5.88258,0.29831,-0.963005,1.14759,57.7866,-5.69273,89.5192,0.184582,-0.118592,-6.579960465431213,1.2630157843232155,1.23922,135.0500030517578,2.9544,1.00915,0.770667,"sa3015704"
"Chris Taylor","LAD",100.605,392.375,345.448,79.9379,47.6652,17.6682,1.85008,12.7544,49.9818,47.696,39.787,1.23395,124.558,4.42882,2.05543,0.65512,3.60917,11.2839,2.52661,0.231403,0.101401,0.317448,0.319425,0.316945,0.404024,0.313839,0.72097,0.172621,5.82106,0.319631,-0.196462,0.491912,46.3304,-1.47819,97.0857,0.29545,0.718587,-1.097913533449173,-0.31644004583358765,1.18995,382.2900085449219,3.465,-0.0854046,0.642769,"13757"
"Michael Massey","KCR",111.489,444.7,406.633,100.741,63.3556,22.2209,1.26818,13.8965,49.0697,53.9133,26.2117,1.10388,96.035,5.8021,3.87184,2.18099,4.44724,6.35106,1.89528,0.247745,0.0589426,0.215955,0.27294,0.299999,0.411152,0.306006,0.711151,0.163407,4.34436,0.28893,-0.0956705,-0.256074,49.6161,-4.56793,91.7476,-0.351744,-0.104766,-4.8235348761081696,1.615735650062561,1.1886,400.2300109863281,2.37974,-0.0448177,0.434888,"27684"
"MJ Melendez","KCR",132.51,557.449,487.73,118.931,68.5147,26.4069,3.53438,20.4753,70.6137,64.7918,61.5886,1.39607,145.027,2.99369,4.74829,0.388725,5.48358,5.00919,2.52017,0.243847,0.110483,0.260162,0.424671,0.329432,0.438425,0.331048,0.767857,0.194578,4.47006,0.301111,-0.36261,-1.07664,73.7892,5.86732,108.815,-1.43925,-3.64745,4.548573613166809,-11.677460432052612,1.18006,297.8399963378906,3.47504,-1.6522,0.387756,"22197"
"Junior Caminero",,75.6336,317.873,291.723,77.3517,51.4645,12.5321,1.46969,11.8855,38.7836,42.8142,21.3228,0.71606,65.6288,2.54212,1.44843,0.83634,9.31353,2.92828,1.1932,0.265154,0.0670796,0.206462,0.3249,0.319258,0.440416,0.326622,0.759674,0.175261,4.04671,0.303566,-0.0740417,-0.492874,40.9084,2.17737,105.799,-0.566916,-0.450818,1.6791709065437317,-0.6696656048297882,1.17893,254.44000244140625,7.12772,0.371821,0.939764,"28163"
"Bryan De La Cruz","MIA",138.088,561.169,516.46,137.149,88.0873,28.1802,1.23216,19.6496,62.9606,69.0742,36.8927,0.83722,127.685,2.56906,4.42442,0.822834,11.8378,4.31852,1.39661,0.265556,0.0657426,0.227534,0.288935,0.315182,0.439032,0.323603,0.754214,0.173476,3.29704,0.314549,-0.496324,-0.702107,70.8118,2.43663,101.622,-1.19843,-1.68244,-0.07109665870666504,-7.2438095808029175,1.17646,276.3399963378906,3.73216,-0.33738,0.422096,"19600"
"Brandon Drury","LAA",126.941,526.582,485.337,122.041,71.6976,25.4328,1.81531,23.0951,65.3305,74.232,30.8687,0.0937942,130.364,6.43988,3.60919,0.327755,9.95594,1.41921,1.14087,0.251456,0.0586208,0.247567,0.236788,0.302799,0.454096,0.323347,0.756895,0.20264,3.05055,0.294932,-0.590937,-1.03688,66.3357,2.17466,103.247,-1.62782,-1.37213,0.4207022190093994,-6.588187336921692,1.16905,218.80999755859375,1.83264,0.61675,0.577799,"11615"
"Luis Campusano","SDP",110.697,430.321,394.393,103.13,71.0599,18.3743,0.755895,12.9397,48.4858,54.0282,27.1352,0.509412,74.9093,4.96149,3.22401,0.606943,12.7977,0.484466,0.294224,0.26149,0.0630581,0.174078,0.362241,0.31469,0.41034,0.314106,0.725029,0.14885,2.35943,0.291153,-0.513227,-0.818202,50.9065,-1.52565,97.2679,-1.33143,-2.67926,-2.7640517950057983,-0.15097975730895996,1.16902,189.7899932861328,2.21077,-0.0243345,0.610278,"22217"
