Name,Team,POS,ADP,IP,mSV,mERA,mWHIP,mSO,mHLD,mQS,PTS,aPOS,Dollars,PlayerId
Erick Fedde,CHW,SP,353.2799988,138.457,-1.996585624,-18.51932553,-15.02097769,-0.018295021,-2.368412322,0.484274791,-37.43932139,10.19224434,-26.24707705,17425
Luis Ortiz,PIT,SP,662.3099976,100.723,-1.996585624,-12.37855142,-18.66868316,-2.298629609,-2.048745856,-0.680782868,-38.07197854,10.19224434,-26.8797342,27646
Chris Flexen,CHW,SP,739.8800049,105.13,-1.955582895,-15.65734105,-16.07145209,-2.233371989,-1.980827084,-0.466495585,-38.36507069,10.19224434,-27.17282635,13896
Jesse Scholtens,CHW,SP,999,98.2049,-1.992269035,-16.02151211,-15.72352213,-2.369959626,-2.36319856,-1.818635064,-40.28909653,10.19224434,-29.09685219,19205
Michael Kopech,CHW,SP,463.2999878,126.055,-1.996585624,-18.39950979,-20.56687839,0.668580511,-2.195796037,0.393833789,-42.09635554,10.19224434,-30.9041112,17282
Trevor Williams,WSN,SP,749.039978,117.704,-1.996096179,-18.10577773,-18.35764997,-1.338008346,-1.959369357,-0.666126801,-42.42302838,10.19224434,-31.23078405,16977
Peter Lambert,COL,SP,750.4199829,101.501,-1.996585624,-18.67305022,-16.76048099,-2.093304849,-2.136310995,-0.950245543,-42.60997822,10.19224434,-31.41773388,17969
Ryan Feltner,COL,SP,744.5999756,98.3468,-1.996585624,-18.33239564,-17.88630761,-1.845512998,-2.368412322,-0.47489295,-42.90410714,10.19224434,-31.7118628,21446
Josiah Gray,WSN,SP,383.6000061,159.839,-1.996585624,-21.1536053,-21.51993384,2.021069644,-2.368412322,1.704463374,-43.31300406,10.19224434,-32.12075972,24580
Jordan Lyles,KCR,SP,740.7800293,128.052,-1.996585624,-24.01652762,-15.50380773,-1.387514747,-2.241323285,0.305833647,-44.83992536,10.19224434,-33.64768102,7593
Austin Gomber,COL,SP,742.9099731,140.127,-1.996585624,-26.48903511,-22.8770029,-0.944487723,-2.368412322,1.536614478,-53.1389092,10.19224434,-41.94666486,16561
Dakota Hudson,COL,SP,749.6699829,116.818,-1.996585624,-20.80594588,-26.32755925,-2.861118605,-2.135661166,0.098028506,-54.02884202,10.19224434,-42.83659768,19206
Patrick Corbin,WSN,SP,665.5100098,157.189,-1.996585624,-25.7391597,-26.4062618,0.025438518,-2.368412322,1.962883409,-54.52209752,10.19224434,-43.32985318,9323
Cal Quantrill,COL,SP,715.3400269,147.584,-1.996585624,-26.64441034,-25.11784866,-1.260703776,-2.368412322,1.182229757,-56.20573096,10.19224434,-45.01348663,19312
Kyle Freeland,COL,SP,704.9299927,159.486,-1.996585624,-29.49088644,-28.40972152,-0.561023918,-2.368412322,1.99278298,-60.83384684,10.19224434,-49.6416025,16256
